$ buildtest report --format name,id,executor,state,returncode

name                          id        executor              state      returncode
root_disk_usage               65a48588  generic.local.bash    PASS                0
root_disk_usage               7acaedae  generic.local.bash    PASS                0
ulimit_filelock_unlimited     b58e902d  generic.local.bash    PASS                0
ulimit_filelock_unlimited     036619ca  generic.local.bash    PASS                0
ulimit_filelock_unlimited     7222adfb  generic.local.bash    PASS                0
ulimit_filelock_unlimited     d0901787  generic.local.bash    PASS                0
ulimit_filelock_unlimited     7e915f80  generic.local.bash    PASS                0
ulimit_filelock_unlimited     5d6c3841  generic.local.bash    PASS                0
ulimit_filelock_unlimited     8a300772  generic.local.bash    PASS                0
ulimit_filelock_unlimited     890778df  generic.local.bash    PASS                0
ulimit_filelock_unlimited     83efd53c  generic.local.bash    PASS                0
ulimit_cputime_unlimited      b0ba6d9a  generic.local.bash    PASS                0
ulimit_cputime_unlimited      365117f0  generic.local.bash    PASS                0
ulimit_cputime_unlimited      9b829e4b  generic.local.bash    PASS                0
ulimit_cputime_unlimited      97fd977d  generic.local.bash    PASS                0
ulimit_cputime_unlimited      8ca2c64f  generic.local.bash    PASS                0
ulimit_cputime_unlimited      9221c8f0  generic.local.bash    PASS                0
ulimit_cputime_unlimited      c7242561  generic.local.bash    PASS                0
ulimit_cputime_unlimited      93c91d7c  generic.local.bash    PASS                0
ulimit_cputime_unlimited      6e239896  generic.local.bash    PASS                0
ulimit_stacksize_unlimited    b1471597  generic.local.bash    FAIL                0
ulimit_stacksize_unlimited    1b650f39  generic.local.bash    FAIL                0
ulimit_stacksize_unlimited    540b38e6  generic.local.bash    FAIL                0
ulimit_stacksize_unlimited    d0061a28  generic.local.bash    FAIL                0
ulimit_stacksize_unlimited    076a74cd  generic.local.bash    FAIL                0
ulimit_stacksize_unlimited    7235ca7e  generic.local.bash    FAIL                0
ulimit_stacksize_unlimited    f6ae1d14  generic.local.bash    FAIL                0
ulimit_stacksize_unlimited    d1bcc9ee  generic.local.bash    FAIL                0
ulimit_stacksize_unlimited    bc56e48c  generic.local.bash    FAIL                0
ulimit_vmsize_unlimited       a1b2eb54  generic.local.bash    PASS                0
ulimit_vmsize_unlimited       acd43b41  generic.local.bash    PASS                0
ulimit_vmsize_unlimited       cede876e  generic.local.bash    PASS                0
ulimit_vmsize_unlimited       a39cbddc  generic.local.bash    PASS                0
ulimit_vmsize_unlimited       a1b9cef8  generic.local.bash    PASS                0
ulimit_vmsize_unlimited       b84ec2eb  generic.local.bash    PASS                0
ulimit_vmsize_unlimited       2faa00cc  generic.local.bash    PASS                0
ulimit_vmsize_unlimited       f9cbb57c  generic.local.bash    PASS                0
ulimit_vmsize_unlimited       a666ec98  generic.local.bash    PASS                0
ulimit_filedescriptor_4096    645fa8d4  generic.local.bash    FAIL                0
ulimit_filedescriptor_4096    359343e4  generic.local.bash    FAIL                0
ulimit_filedescriptor_4096    147e6238  generic.local.bash    FAIL                0
ulimit_filedescriptor_4096    69c8ab55  generic.local.bash    FAIL                0
ulimit_filedescriptor_4096    6c1e5f75  generic.local.bash    FAIL                0
ulimit_filedescriptor_4096    4c6198a3  generic.local.bash    FAIL                0
ulimit_filedescriptor_4096    030720b9  generic.local.bash    FAIL                0
ulimit_filedescriptor_4096    51c5915d  generic.local.bash    FAIL                0
ulimit_filedescriptor_4096    1aedcdfa  generic.local.bash    FAIL                0
ulimit_max_user_process_2048  73c8baea  generic.local.bash    FAIL                0
ulimit_max_user_process_2048  229e969c  generic.local.bash    FAIL                0
ulimit_max_user_process_2048  6aca0278  generic.local.bash    FAIL                0
ulimit_max_user_process_2048  28ff4ad2  generic.local.bash    FAIL                0
ulimit_max_user_process_2048  698739e5  generic.local.bash    FAIL                0
ulimit_max_user_process_2048  9343fd6a  generic.local.bash    FAIL                0
ulimit_max_user_process_2048  95a5840d  generic.local.bash    FAIL                0
ulimit_max_user_process_2048  df3d018a  generic.local.bash    FAIL                0
ulimit_max_user_process_2048  a2b8d46d  generic.local.bash    FAIL                0
custom_run_by_compilers       8154c17b  generic.local.bash    PASS                0
custom_run_by_compilers       09e17f80  generic.local.bash    PASS                0
custom_run_by_compilers       0c3ab4f4  generic.local.bash    PASS                0
custom_run_by_compilers       730ad62c  generic.local.bash    PASS                0
custom_run_by_compilers       a00ae164  generic.local.bash    PASS                0
custom_run_by_compilers       8ec04d7c  generic.local.bash    PASS                0
hello_c                       3d3df7e9  generic.local.bash    PASS                0
hello_c                       542cd4f0  generic.local.bash    PASS                0
hello_c                       8f21dc35  generic.local.bash    PASS                0
hello_c                       6ff0b82d  generic.local.bash    PASS                0
hello_c                       8106c504  generic.local.bash    PASS                0
hello_c                       37fcea14  generic.local.bash    PASS                0
bash_login_shebang            8fa37526  generic.local.bash    PASS                0
bash_login_shebang            2cd6734a  generic.local.bash    PASS                0
bash_login_shebang            b0f4231e  generic.local.bash    PASS                0
bash_login_shebang            e5754004  generic.local.bash    PASS                0
bash_login_shebang            2e993210  generic.local.bash    PASS                0
bash_login_shebang            030f3c6c  generic.local.bash    PASS                0
bash_login_shebang            40c0688b  generic.local.bash    PASS                0
bash_login_shebang            9084921f  generic.local.bash    PASS                0
bash_login_shebang            5e5431e3  generic.local.bash    PASS                0
bash_nonlogin_shebang         b73eab53  generic.local.bash    PASS                0
bash_nonlogin_shebang         dabe2d00  generic.local.bash    PASS                0
bash_nonlogin_shebang         98dc56e1  generic.local.bash    PASS                0
bash_nonlogin_shebang         92d9bc81  generic.local.bash    PASS                0
bash_nonlogin_shebang         927086fd  generic.local.bash    PASS                0
bash_nonlogin_shebang         bfc93cd2  generic.local.bash    PASS                0
bash_nonlogin_shebang         85873326  generic.local.bash    PASS                0
bash_nonlogin_shebang         14882990  generic.local.bash    PASS                0
bash_nonlogin_shebang         d864356d  generic.local.bash    PASS                0
unskipped                     f316f6d6  generic.local.bash    PASS                0
unskipped                     d8b8b814  generic.local.bash    PASS                0
unskipped                     fd438c8c  generic.local.bash    PASS                0
unskipped                     cbc85124  generic.local.bash    PASS                0
unskipped                     5b3cbc07  generic.local.bash    PASS                0
unskipped                     f7439eda  generic.local.bash    PASS                0
unskipped                     a681064c  generic.local.bash    PASS                0
unskipped                     2563f816  generic.local.bash    PASS                0
unskipped                     b6ac96b3  generic.local.bash    PASS                0
